top - 13:24:59 up  1:17,  1 user,  load average: 0.96, 0.68, 0.85
Tasks: 357 total,   1 running, 356 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.3 us,  2.6 sy,  0.0 ni, 96.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15907.9 total,   6410.3 free,   5448.5 used,   4049.0 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   9372.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2576 sh        20   0  236044   6256   5656 S   0.0   0.0   0:00.01 gvfs-mt+
   2580 sh        20   0  317064   8872   7856 S   0.0   0.1   0:00.20 gvfs-af+
   2585 sh        20   0  238444   7340   6508 S   0.0   0.0   0:00.01 gvfs-gp+
   2589 sh        20   0  236212   6680   6064 S   0.0   0.0   0:00.01 gvfs-go+
   2593 sh        20   0  545400  36448  30580 S   0.0   0.2   0:00.06 goa-dae+
   2600 sh        20   0  315096   9080   8044 S   0.0   0.1   0:00.18 goa-ide+
   2620 sh        20   0  164360   6592   5960 S   0.0   0.0   0:00.00 gdm-x-s+
   2678 sh        20   0  188564  13728  12236 S   0.0   0.1   0:00.03 gnome-s+
   2746 sh        20   0    6040    456      0 S   0.0   0.0   0:00.01 ssh-age+
   2767 sh        20   0  305432   6840   6196 S   0.0   0.0   0:00.00 at-spi-+
   2772 sh        20   0    7380   4292   3832 S   0.0   0.0   0:00.32 dbus-da+
   2782 sh        20   0   90404   4340   3920 S   0.0   0.0   0:00.00 gnome-s+
   2789 sh        20   0  484564  15720  13016 S   0.0   0.1   0:00.38 gnome-s+
   2807 jenkins   20   0  162608   6344   5732 S   0.0   0.0   0:00.00 gvfsd-m+
   2838 sh        20   0  385152   8424   6944 S   0.0   0.1   0:01.16 ibus-da+
   2842 sh        20   0  163040   7032   6396 S   0.0   0.0   0:00.00 ibus-me+
   2843 sh        20   0  276056  31668  18100 S   0.0   0.2   0:01.76 ibus-ex+
   2845 sh        20   0  198312  27940  18044 S   0.0   0.2   0:00.93 ibus-x11
   2848 sh        20   0  236844   6980   6328 S   0.0   0.0   0:00.08 ibus-po+
   2860 sh        20   0  162840   7484   6692 S   0.0   0.0   0:01.68 at-spi2+
   2864 sh        20   0  235936   4568   4128 S   0.0   0.0   0:00.01 xdg-per+
   2867 sh        20   0  580960  19832  17276 S   0.0   0.1   0:00.06 gnome-s+
   2875 sh        20   0 1070560  25680  21740 S   0.0   0.2   0:00.10 evoluti+
   2885 sh        20   0 1314184  30708  26332 S   0.0   0.2   0:00.14 evoluti+
   2894 sh        20   0  156464   5844   4996 S   0.0   0.0   0:00.00 dconf-s+
   2900 sh        20   0  747272  29548  26032 S   0.0   0.2   0:00.08 evoluti+
   2915 sh        20   0 3004356  26820  21560 S   0.0   0.2   0:00.14 gjs
   2927 sh        20   0  314676   8544   7176 S   0.0   0.1   0:00.05 gvfsd-t+
   2938 sh        20   0  310012   6412   5812 S   0.0   0.0   0:00.04 gsd-a11+
   2939 sh        20   0  720100  30904  20404 S   0.0   0.2   0:00.62 gsd-col+
   2942 sh        20   0  373976  16124  14184 S   0.0   0.1   0:00.07 gsd-dat+
   2943 sh        20   0  312176   7716   6876 S   0.0   0.0   0:00.38 gsd-hou+
   2945 sh        20   0  346292  28708  18732 S   0.0   0.2   0:00.53 gsd-key+
   2946 sh        20   0  836116  31392  20716 S   0.0   0.2   0:00.67 gsd-med+
   2947 sh        20   0  420488  29348  18916 S   0.0   0.2   0:00.60 gsd-pow+
   2949 sh        20   0  248564  11184   9772 S   0.0   0.1   0:00.05 gsd-pri+
   2951 sh        20   0  457440   5924   5284 S   0.0   0.0   0:00.07 gsd-rfk+
   2952 sh        20   0  235848   5916   5384 S   0.0   0.0   0:00.05 gsd-scr+
   2953 sh        20   0  465132  10560   8892 S   0.0   0.1   0:01.93 gsd-sha+
   2955 sh        20   0  315512   8356   7536 S   0.0   0.1   0:00.05 gsd-sma+
   2958 sh        20   0  319708   8952   7940 S   0.0   0.1   0:00.05 gsd-sou+
   2960 sh        20   0  385320   7008   6300 S   0.0   0.0   0:00.05 gsd-usb+
