top - 13:32:52 up  2:04,  1 user,  load average: 2.08, 2.42, 2.40
Tasks: 462 total,   2 running, 460 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  7.1 sy,  0.0 ni, 81.6 id,  7.1 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7517.8 total,    713.7 free,   5462.2 used,   1341.8 buff/cache
MiB Swap:   2048.0 total,   1105.0 free,    943.0 used.   1124.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2320 gdm       20   0 2939156  14204   9164 S   0.0   0.2   0:00.07 gjs
   2337 gdm       20   0  473744   7736   6048 S   0.0   0.1   0:00.52 gsd-sha+
   2339 gdm       20   0  344112   8548   6424 S   0.0   0.1   0:00.03 gsd-wac+
   2340 gdm       20   0  514752  10680   7836 S   0.0   0.1   0:00.09 gsd-col+
   2341 gdm       20   0  344468   9372   7360 S   0.0   0.1   0:00.02 gsd-key+
   2342 gdm       20   0  257200   7812   6396 S   0.0   0.1   0:00.00 gsd-pri+
   2343 gdm       20   0  466072   4468   3844 S   0.0   0.1   0:00.02 gsd-rfk+
   2345 gdm       20   0  324128   6328   5408 S   0.0   0.1   0:00.01 gsd-sma+
   2346 gdm       20   0  382584   9040   7084 S   0.0   0.1   0:00.02 gsd-dat+
   2347 gdm       20   0  687484  10108   7428 S   0.0   0.1   0:00.04 gsd-med+
   2348 gdm       20   0  244480   4292   3760 S   0.0   0.1   0:00.00 gsd-scr+
   2349 gdm       20   0  328316   6344   5324 S   0.0   0.1   0:00.00 gsd-sou+
   2350 gdm       20   0  318624   4804   4196 S   0.0   0.1   0:00.00 gsd-a11+
   2351 gdm       20   0  171668   4764   4132 S   0.0   0.1   0:00.01 ibus-en+
   2352 gdm       20   0  320696   5520   4724 S   0.0   0.1   0:00.28 gsd-hou+
   2353 gdm       20   0  419460   9688   7040 S   0.0   0.1   0:00.05 gsd-pow+
   2396 gdm       20   0  351164   9092   7200 S   0.0   0.1   0:00.00 gsd-pri+
   2432 colord    20   0  255340   8072   5884 S   0.0   0.1   0:00.21 colord
   2564 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
   2588 root      20   0  176180   6020   4916 S   0.0   0.1   0:00.01 gdm-ses+
   2601 project   20   0   19580   6520   5016 S   0.0   0.1   0:00.66 systemd
   2602 project   20   0  171296   1704      0 S   0.0   0.0   0:00.00 (sd-pam)
   2607 project    9 -11 2278220   8928   6552 S   0.0   0.1   0:00.60 pulseau+
   2609 project   39  19  798904   9112   6824 S   0.0   0.1   0:00.42 tracker+
   2613 project   20   0    8372   4120   2708 S   0.0   0.1   0:00.94 dbus-da+
   2628 project   20   0  248688   4956   4420 S   0.0   0.1   0:00.08 gvfsd
   2633 project   20   0  378344   4140   4140 S   0.0   0.1   0:00.00 gvfsd-f+
   2640 project   20   0  396864   6632   4880 S   0.0   0.1   0:01.58 gvfs-ud+
   2646 project   20   0  244848   3912   3696 S   0.0   0.1   0:00.02 gvfs-go+
   2650 project   20   0  554184   8164   7800 S   0.0   0.1   0:00.04 goa-dae+
   2657 project   20   0  323724   4364   4340 S   0.0   0.1   0:00.19 goa-ide+
   2663 project   20   0  247076   4316   3944 S   0.0   0.1   0:00.03 gvfs-gp+
   2667 project   20   0  244676   4120   3760 S   0.0   0.1   0:00.02 gvfs-mt+
   2671 project   20   0  325696   5892   5516 S   0.0   0.1   0:00.25 gvfs-af+
   2680 project   20   0  249228   3828   3260 S   0.0   0.0   0:00.19 gnome-k+
   2685 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2687 project   20   0  172992   4316   4316 S   0.0   0.1   0:00.00 gdm-x-s+
   2689 project   20   0 1234844  26276  12836 S   0.0   0.3   6:37.95 Xorg
   2711 project   20   0  197388   6368   6368 S   0.0   0.1   0:00.04 gnome-s+
   2792 project   20   0    6040     32      0 S   0.0   0.0   0:00.02 ssh-age+
   2813 project   20   0  305404   4288   4288 S   0.0   0.1   0:00.00 at-spi-+
   2822 project   20   0    7380   2984   2772 S   0.0   0.0   0:00.47 dbus-da+
   2840 project   20   0   99036   2352   2352 S   0.0   0.0   0:00.00 gnome-s+
   2847 project   20   0  567104   7476   6524 S   0.0   0.1   0:00.16 gnome-s+
   2916 project   20   0  320184   5792   4544 S   0.0   0.1   0:03.57 ibus-da+
